No.,Company Name,Company Website
385,KUMPULAN FIMA BERHAD [S],http://www.fima.com.my/
386,KUMPULAN H & L HIGH-TECH BERHAD [S],http://www.hlhightech.com
387,KUMPULAN JETSON BERHAD [S],http://www.jetson.com.my
388,KUMPULAN PERANGSANG SELANGOR BERHAD [S],http://www.kps.com.my/
389,KUMPULAN POWERNET BERHAD [S],http://www.powernet.com.my
390,KWANTAS CORPORATION BERHAD [S],http://www.kwantas.com.my
391,KYM HOLDINGS BERHAD [S],http://www.kym.com.my
392,LAND & GENERAL BERHAD [S],http://www.land-general.com
393,LANDMARKS BERHAD,http://www.landmarks.com.my
394,LATITUDE TREE HOLDINGS BERHAD [S],http://www.lattree.com
395,LAY HONG BERHAD [S],http://www.layhong.com.my
396,LB ALUMINIUM BERHAD [S],http://www.lbalum.com
397,LBI CAPITAL BERHAD,http://www.lbi-capital.com.my
398,LBS BINA GROUP BERHAD [S],http://www.lbs.com.my
399,LEADER STEEL HOLDINGS BERHAD,http://www.leadersteel.my/
400,LEBTECH BERHAD [S],http://www.lebtech.com.my/annual.htm
401,LEE SWEE KIAT GROUP BERHAD [S],http://www.lsk.com.my
402,LEON FUAT BERHAD,http://www.leonfuat.com.my
403,LEONG HUP INTERNATIONAL BERHAD,https://www.leonghupinternational.com/
404,LEWEKO RESOURCES BERHAD [S],https://www.leweko.com/
405,LFE CORPORATION BERHAD [S],http://www.lfe.com.my
406,LIEN HOE CORPORATION BERHAD,http://www.lienhoe.com.my
407,LII HEN INDUSTRIES BHD. [S],http://www.liihenfurniture.com/
408,LINGKARAN TRANS KOTA HOLDINGS BERHAD [S],http://www.litrak.com.my
409,LION INDUSTRIES CORPORATION BERHAD [S],http://www.lion.com.my/lionind
410,LION FOREST INDUSTRIES BERHAD [S],http://www.lion.com.my/lionfib
411,LONDON BISCUITS BERHAD,http://www.londonbiscuits.com.my
412,LOTTE CHEMICAL TITAN HOLDING BERHAD [S],http://www.lottechem.my/
413,LOTUS KFM BERHAD [S],http://www.kfmb.com.my
414,LPI CAPITAL BHD,http://www.lonpac.com
415,LTKM BERHAD [S],http://www.ltkm.com.my
416,LUSTER INDUSTRIES BHD.,http://www.lustergroup.com
417,LUXCHEM CORPORATION BERHAD [S],http://www.luxchem.com.my
418,LYSAGHT GALVANIZED STEEL BERHAD,http://lysaghtgalvanizedsteelbhd.com/
419,MAA GROUP BERHAD,https://www.maa.my
420,MAGNA PRIMA BERHAD [S],http://www.magnaprima.com.my/
421,MAGNI-TECH INDUSTRIES BERHAD [S],http://www.magni-tech.com.my
422,MAGNUM BERHAD,http://www.magnum.com.my
423,MAH SING GROUP BERHAD [S],http://www.mahsing.com.my
424,MAJUPERAK HOLDINGS BERHAD,http://www.majuperak.com.my/
425,MALAKOFF CORPORATION BERHAD [S],http://www.malakoff.com.my/
426,MALAYAN BANKING BERHAD,http://www.maybank.com
427,MALAYAN CEMENT BERHAD [S],http://ytlcement.my/
428,MALAYAN FLOUR MILLS BERHAD,http://www.mfm.com.my
429,MALAYAN UNITED INDUSTRIES BERHAD,http://www.muiglobal.com
430,MALAYSIA AIRPORTS HOLDINGS BERHAD,http://www.malaysiaairports.com.my
431,MALAYSIA BUILDING SOCIETY BERHAD,http://www.mbsb.com.my
432,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD [S],http://www.mhb.com.my
433,MALAYSIA PACIFIC CORPORATION BERHAD,http://www.mpcb.com.my/
434,MALAYSIA SMELTING CORPORATION BERHAD [S],http://www.msmelt.com
435,MALAYSIA STEEL WORKS (KL) BHD [S],http://www.masteel.com.my
436,MALAYSIAN BULK CARRIERS BERHAD,http://www.maybulk.com.my
437,MALAYSIAN PACIFIC INDUSTRIES BERHAD [S],http://www.mpind.my
438,MALAYSIAN RESOURCES CORPORATION BERHAD [S],http://www.mrcb.com.my/main/index.php
439,MALPAC HOLDINGS BERHAD,http://www.malpac.com.my
440,MALTON BERHAD [S],http://www.malton.com.my/
441,MANULIFE HOLDINGS BERHAD,http://www.manulife.com.my
442,MARCO HOLDINGS BERHAD,http://www.marcoholdings.com.my
443,MARINE & GENERAL BERHAD,http://marine-general.com.my/
444,MASTER-PACK GROUP BERHAD [S],http://www.master.net.my/
445,MATRIX CONCEPTS HOLDINGS BERHAD [S],http://www.mchb.com.my
446,MAXIS BERHAD [S],http://www.maxis.com.my/main.asp
447,MB WORLD GROUP BERHAD [S],http://www.mbworld.com.my/
448,MBM RESOURCES BHD [S],http://www.mbmr.com.my
449,MCE HOLDINGS BERHAD [S],http://www.multicode.com.my
450,MCT BERHAD [S],http://www.mct.com.my/
451,MEDIA CHINESE INTERNATIONAL LIMITED [S],http://www.mediachinesegroup.com
452,MEDIA PRIMA BERHAD,http://www.mediaprima.com.my
453,MEGA FIRST CORPORATION BERHAD [S],http://www.mega-first.com
454,MELATI EHSAN HOLDINGS BERHAD [S],http://www.melatiehsan.com.my
455,MELEWAR INDUSTRIAL GROUP BERHAD [S],http://www.melewar-mig.com
456,MENANG CORPORATION (M) BERHAD [S],http://www.menangcorporation.com
457,MENTIGA CORPORATION BERHAD [S],http://www.mentiga.com.my/
458,MERCURY INDUSTRIES BERHAD [S],http://www.mercury.com.my
459,MERIDIAN BERHAD [S],http://www.meda.com.my
460,MESB BERHAD [S],http://www.mesbbhd.com.my
461,MESINIAGA BERHAD [S],http://www.mesiniaga.com.my
462,METROD HOLDINGS BERHAD,http://www.metrod.com/
463,METRONIC GLOBAL BERHAD [S],http://www.metronic-group.com
464,MGB BERHAD [S],http://www.mgbgroup.com.my/
465,MHC PLANTATIONS BHD [S],http://www.mhc.com.my
466,MI TECHNOVATION BERHAD [S],https://www.mi-eq.com/
467,MIECO CHIPBOARD BERHAD [S],http://www.mieco.com.my
